zipcode,average_price
1015NB,185
1016VV,150
1071AR,249
1018SV,209
1058KN,110
1092TV,90
1078VT,119
1018BG,275
1022XW,75
1087JW,159
1011EW,120
1055TT,140
1059TB,125
1053AC,95
1052LX,185
1017NL,117.25
1018GD,80
1019XC,140
1032AG,45
1074JA,225
1165LZ,139
1069TD,50
1011EJ,155
1055NJ,93.5
1015CT,370
1017AC,425
1058TN,250
1055VE,169
1012KW,182.5
1054TJ,114
1097AH,160
1051KS,108.25
1054AP,212
1058GT,100
1052XS,80
1055BE,75
1078TZ,95
1054VV,98
1035SJ,100
1053ER,120
1052GL,150
1017RD,196.25
1054BB,170
1056SX,247
1055VV,92
1072HS,111.67
1076TA,93
1052HV,82
1091KW,109
1057JS,130
1025DN,90
1055KM,71
1011SE,285
1072GX,99
1094HW,100
1076CW,136
1064SB,75
1019HN,120
1013NJ,110
1071MH,107
1055SN,75
1098CP,120
1019KR,225
1015TT,230
1078HV,110
1012MB,102.5
1011TW,125
1013WJ,129
1012WL,145
1015HB,129.67
1093TH,99
1056BD,90
1017AX,225
1017RA,135
1011AH,90
1053EN,80
1017SG,99
1033LA,150
1032KX,182
1073BM,100
1021NK,69
1016AM,250
1019RW,139
1059XB,115
1058HD,99
1075TD,115
1017KT,99
1058EP,130
1079LS,99
1073HR,59
1077JG,80
1074CG,125
1016VL,174
1025LX,160
1071VP,100
1073BD,115
1091MX,95
1072VN,130
1015XV,149
1074GR,120
1015DC,168
1093SL,149
1095JX,85
1094LV,80
1058LZ,95
1017PV,212
1055ZT,70.33
1052RV,226.67
1018WA,120
1073XC,120
1017CX,129
1095XM,80
1095AT,100
1018ZW,89
1015NT,114
1096CR,90
1052RS,112.5
1025PC,120
1097DH,200
1017VW,299
1058CJ,110
1078XD,110
1017AA,216.25
1065ED,50
1017GW,233.33
1053VJ,257
1091VK,112.5
1012BN,129
1059EH,60
1011VB,240
1016XR,135
1077DE,149
1054MH,99
1079SV,165
1055HA,139
1017RP,260
1095VA,86
1055TE,104.5
1053SW,140
1013NE,98
1052EM,129
1017JV,190
1051AZ,95
1015GN,137.2
1015CD,228
1013PG,79
1011VA,50
1017BN,210
1074ES,99
1073RR,185
1055JE,65
1011TJ,221
1057BJ,125
1053BN,90
1072KA,79
1052SE,100
1094PR,80
1057PB,99
1054ZC,119
1056KS,95
1011KW,119
1033HH,95
1058TP,75
1054EK,86
1016TV,145
1054VC,87.5
1082SE,125
1011PT,132.5
1087AZ,110
1095CC,75
1057KH,139
1098RK,100
1051GC,140
1012LA,75
1053SN,150
1074AG,92.33
1017HC,85
1071ER,322
1068NN,199
1087JJ,115
1012GH,95
1051VB,120
1032BP,150
1015TS,395
1072HN,121.25
1022XD,95
1093RR,86.25
1017GB,90
1057ET,107.5
1060RG,109.5
1098CV,75
1011VJ,119
1072BW,125
1015JZ,130
1091CB,130
1067EP,225
1076LP,90
1071RE,399
1072EL,80
1011BK,116.67
1051GT,190
1055PL,130
1018VA,110
1054AC,113.33
1013BX,136.33
1075VM,105
1091EG,262
1054MD,179
1093CN,95.75
1094EM,75
1015AC,185
1013VV,75
1053ZA,150
1056XD,90
1078DW,167.5
1012RD,250
1032JT,30
1056JP,115
1012JM,120
1052AG,95
1054WS,86.33
1076TE,100
1055KD,95
1052GC,110
1079AT,117.5
1051JS,94.5
1091AR,99
1071AS,167.5
1018VT,110
1012NN,500
1073SE,90
1013TB,89
1022AG,120
1012EW,325
1015DM,114.5
1016CX,200
1012VV,150
1077MZ,94
1021ED,100
1017VD,100
1012WH,180
1098EM,195
1053DV,90
1015XR,125
1052JK,225
1018WM,120
1087KA,250
1016AR,150
1098JK,250
1052JS,125
1051TN,98
1095ER,85
1053SH,90
1053VL,150
1055EP,90
1074JH,165
1017PN,99
1079XJ,75
1074XL,150
1053VB,120
1075GB,60
1054BL,180
1019HD,99
1074GG,112.5
1078LZ,180
1018ZM,80
1075RT,110
1016NH,100
1021JL,125
1016VS,125
1094EG,89
1013CJ,149
1079VW,125
1059EN,149
1054XT,172.5
1081JT,95
1015SG,150
1065AP,85
1092BX,69
1012NP,175
1016PL,170
1017AD,238.33
1051HR,150
1013ET,145
1056XR,100
1054KR,140
1013GP,149
1018JM,125
1017XG,130
1091PH,99
1016VW,341.67
1012RK,155
1016JB,375
1078VR,110
1064PR,110
1015DJ,90
1018TK,120
1052XP,350
1018AA,95
1081JE,360
1015WN,128.5
1011LZ,214.5
1073LS,110
1025LK,125
1019JT,246
1078JG,140
1016HJ,200
1052HW,90
1076VN,140
1079XC,100
1017PH,125
1077EM,300
1011NB,130
1093JC,100
1093HC,199
1094KV,100
1093MK,50
1095KN,44.33
1081JL,175
1075NX,104
1056JA,135
1057JZ,115
1082JD,125
1023ZE,100
1017EE,106
1023ZB,95
1058SZ,150
1015LP,100
1073SP,160
1071VB,110
1058SR,115
1066HG,59
1034DS,70
1017ZJ,144.5
1053VH,90
1054MP,160
1059EM,140
1056VV,100
1053KN,80
1013KN,110
1072TH,115
1016HG,183.5
1052LP,104.5
1016CH,330
1051VE,115
1054AS,110
1025WS,100
1017AM,160
1057HR,90
1052LE,130
1072NN,217
1074VH,110
1072PJ,150
1021GV,104.5
1092TS,110
1072CL,115
1016PA,161.67
1015JM,260
1079TX,175
1017HX,185
1032GJ,125
1018DB,120
1091AS,120
1012SP,124.5
1018TV,362.5
1015ZR,229
1061DL,97.5
1091EL,200
1017SC,125
1053LZ,169.67
1076VJ,104
1073GR,99
1054GJ,240
1078MD,200
1054MB,100
1058PD,250
1075XM,79
1071VD,112.5
1086WC,180
1078GK,162.5
1015BD,173
1018MR,144.5
1015DH,190
1055GE,85
1018ZA,122.5
1051LW,99
1054GD,175
1053BG,195
1091NK,105
1012CJ,190
1057KB,130
1094GL,119
1053NP,120
1018MD,120
