zipcode,average_price
1015NB,185.0
1016VV,1075.0
1071AR,249.0
1018SV,209.0
1058KN,110.0
1092TV,90.0
1078VT,119.0
1018BG,275.0
1022XW,75.0
1087JW,159.0
1011EW,120.0
1055TT,140.0
1059TB,125.0
1053AC,95.0
1052LX,185.0
1017NL,833.63
1018GD,80.0
1019XC,140.0
1032AG,45.0
1074JA,225.0
1165LZ,139.0
1069TD,800.0
1011EJ,530.0
1055NJ,93.5
1015CT,370.0
1017AC,425.0
1058TN,250.0
1055VE,169.0
1012KW,182.5
1054TJ,114.0
1097AH,160.0
1051KS,108.25
1054AP,1481.0
1058GT,100.0
1052XS,80.0
1055BE,75.0
1078TZ,95.0
1054VV,98.0
1035SJ,100.0
1053ER,120.0
1052GL,150.0
1017RD,448.13
1054BB,170.0
1056SX,247.0
1055VV,92.0
1072HS,111.67
1076TA,93.0
1052HV,366.0
1091KW,109.0
1057JS,130.0
1025DN,90.0
1055KM,71.0
1011SE,285.0
1072GX,99.0
1094HW,100.0
1076CW,136.0
1064SB,75.0
1019HN,120.0
1013NJ,110.0
1071MH,107.0
1055SN,75.0
1098CP,120.0
1019KR,225.0
1015TT,230.0
1078HV,110.0
1012MB,102.5
1011TW,125.0
1013WJ,129.0
1012WL,145.0
1015HB,129.67
1093TH,99.0
1056BD,90.0
1017AX,225.0
1017RA,135.0
1011AH,90.0
1053EN,190.0
1017SG,99.0
1033LA,150.0
1032KX,182.0
1073BM,500.0
1021NK,69.0
1016AM,250.0
1019RW,139.0
1059XB,115.0
1058HD,99.0
1075TD,115.0
1017KT,99.0
1058EP,130.0
1079LS,99.0
1073HR,59.0
1077JG,80.0
1074CG,125.0
1016VL,224.5
1025LX,160.0
1071VP,100.0
1073BD,115.0
1091MX,95.0
1072VN,130.0
1015XV,149.0
1074GR,120.0
1015DC,168.0
1093SL,149.0
1095JX,85.0
1094LV,80.0
1058LZ,95.0
1017PV,212.0
1055ZT,487.67
1052RV,226.67
1018WA,1160.0
1073XC,120.0
1017CX,129.0
1095XM,80.0
1095AT,100.0
1018ZW,264.5
1015NT,114.0
1096CR,90.0
1052RS,112.5
1025PC,120.0
1097DH,200.0
1017VW,299.0
1058CJ,110.0
1078XD,110.0
1017AA,600.63
1065ED,50.0
1017GW,233.33
1053VJ,257.0
1091VK,1331.25
1012BN,129.0
1059EH,60.0
1011VB,240.0
1016XR,135.0
1077DE,149.0
1054MH,99.0
1079SV,165.0
1055HA,139.0
1017RP,260.0
1095VA,86.0
1055TE,104.5
1053SW,140.0
1013NE,98.0
1052EM,129.0
1017JV,505.0
1051AZ,95.0
1015GN,137.2
1015CD,228.0
1013PG,79.0
1011VA,50.0
1017BN,210.0
1074ES,99.0
1073RR,185.0
1055JE,65.0
1011TJ,221.0
1057BJ,125.0
1053BN,90.0
1072KA,79.0
1052SE,100.0
1094PR,80.0
1057PB,99.0
1054ZC,119.0
1056KS,574.5
1011KW,119.0
1033HH,95.0
1058TP,75.0
1054EK,86.0
1016TV,145.0
1054VC,87.5
1082SE,125.0
1011PT,132.5
1087AZ,110.0
1095CC,75.0
1057KH,139.0
1098RK,100.0
1051GC,140.0
1012LA,75.0
1053SN,150.0
1074AG,92.33
1017HC,85.0
1071ER,322.0
1068NN,199.0
1087JJ,115.0
1012GH,371.25
1051VB,120.0
1032BP,770.0
1015TS,395.0
1072HN,393.13
1022XD,95.0
1093RR,86.25
1017GB,90.0
1057ET,107.5
1060RG,109.5
1098CV,75.0
1011VJ,119.0
1072BW,125.0
1015JZ,130.0
1091CB,130.0
1067EP,450.0
1076LP,90.0
1071RE,399.0
1072EL,80.0
1011BK,1057.09
1051GT,745.0
1055PL,130.0
1018VA,110.0
1054AC,113.33
1013BX,136.33
1075VM,105.0
1091EG,262.0
1054MD,179.0
1093CN,634.13
1094EM,75.0
1015AC,185.0
1013VV,75.0
1053ZA,150.0
1056XD,90.0
1078DW,167.5
1012RD,250.0
1032JT,30.0
1056JP,115.0
1012JM,985.0
1052AG,95.0
1054WS,86.33
1076TE,100.0
1055KD,95.0
1052GC,110.0
1079AT,117.5
1051JS,784.75
1091AR,99.0
1071AS,167.5
1018VT,110.0
1012NN,663.0
1073SE,90.0
1013TB,89.0
1022AG,585.0
1012EW,836.25
1015DM,114.5
1016CX,200.0
1012VV,150.0
1077MZ,94.0
1021ED,100.0
1017VD,100.0
1012WH,180.0
1098EM,195.0
1053DV,90.0
1015XR,125.0
1052JK,225.0
1018WM,120.0
1087KA,250.0
1016AR,150.0
1098JK,250.0
1052JS,125.0
1051TN,98.0
1095ER,85.0
1053SH,90.0
1053VL,150.0
1055EP,90.0
1074JH,165.0
1017PN,99.0
1079XJ,75.0
1074XL,150.0
1053VB,120.0
1075GB,60.0
1054BL,180.0
1019HD,644.5
1074GG,112.5
1078LZ,180.0
1018ZM,940.0
1075RT,110.0
1016NH,100.0
1021JL,125.0
1016VS,125.0
1094EG,89.0
1013CJ,149.0
1079VW,125.0
1059EN,149.0
1054XT,172.5
1081JT,95.0
1015SG,150.0
1065AP,85.0
1092BX,69.0
1012NP,175.0
1016PL,170.0
1017AD,238.33
1051HR,150.0
1013ET,145.0
1056XR,100.0
1054KR,140.0
1013GP,149.0
1018JM,125.0
1017XG,130.0
1091PH,99.0
1016VW,430.84
1012RK,155.0
1016JB,375.0
1078VR,110.0
1064PR,110.0
1015DJ,90.0
1018TK,120.0
1052XP,350.0
1018AA,95.0
1081JE,360.0
1015WN,128.5
1011LZ,214.5
1073LS,110.0
1025LK,125.0
1019JT,246.0
1078JG,140.0
1016HJ,200.0
1052HW,90.0
1076VN,140.0
1079XC,100.0
1017PH,125.0
1077EM,300.0
1011NB,130.0
1093JC,100.0
1093HC,199.0
1094KV,100.0
1093MK,50.0
1095KN,44.33
1081JL,175.0
1075NX,104.0
1056JA,135.0
1057JZ,115.0
1082JD,125.0
1023ZE,100.0
1017EE,106.0
1023ZB,95.0
1058SZ,150.0
1015LP,100.0
1073SP,160.0
1071VB,110.0
1058SR,115.0
1066HG,411.17
1034DS,70.0
1017ZJ,144.5
1053VH,795.0
1054MP,160.0
1059EM,140.0
1056VV,100.0
1053KN,80.0
1013KN,110.0
1072TH,115.0
1016HG,1091.75
1052LP,104.5
1016CH,330.0
1051VE,115.0
1054AS,110.0
1025WS,100.0
1017AM,160.0
1057HR,90.0
1052LE,130.0
1072NN,217.0
1074VH,110.0
1072PJ,150.0
1021GV,104.5
1092TS,110.0
1072CL,795.0
1016PA,161.67
1015JM,667.5
1079TX,175.0
1017HX,635.0
1032GJ,125.0
1018DB,120.0
1091AS,120.0
1012SP,124.5
1018TV,362.5
1015ZR,229.0
1061DL,97.5
1091EL,200.0
1017SC,125.0
1053LZ,169.67
1076VJ,104.0
1073GR,99.0
1054GJ,240.0
1078MD,200.0
1054MB,100.0
1058PD,250.0
1075XM,79.0
1071VD,112.5
1086WC,180.0
1078GK,162.5
1015BD,173.0
1018MR,1047.25
1015DH,190.0
1055GE,367.5
1018ZA,122.5
1051LW,99.0
1054GD,175.0
1053BG,195.0
1091NK,105.0
1012CJ,190.0
1057KB,130.0
1094GL,119.0
1053NP,120.0
1018MD,120.0
1076CA,80.0
1073GH,149.0
1093HX,125.0
1051KA,95.0
1061TG,189.0
1012GM,300.0
1021NG,95.0
1012PR,200.0
1073SN,239.0
1019PG,95.0
1073BR,782.17
1074TK,125.0
1057DS,105.0
1018WD,80.0
1097HS,125.0
1056EP,940.0
1092ED,150.0
1079LE,108.0
1098VV,195.0
1011KC,100.0
1018VV,90.0
1051AC,124.67
1111BR,185.0
1035ML,140.0
1171AG,135.0
1081AV,60.0
1094SB,70.0
1072JA,115.0
1091TL,70.0
1093TR,92.0
1073VJ,235.0
1055RD,653.13
1082NG,90.0
1073AT,1395.84
1056HR,120.67
1017BX,140.0
1018CL,150.0
1076AS,195.0
1079LM,175.25
1057BV,80.0
1098LP,100.0
1051JX,140.0
1087BS,96.0
1016GJ,144.0
1012TP,190.0
1019SL,90.0
1054BK,99.0
1094LB,95.0
1012EA,175.0
1098JH,120.0
1056JR,80.0
1018HC,165.0
1016TR,150.0
1072VR,130.0
1013EZ,82.5
1011PC,110.0
1091GS,85.0
1052GN,125.0
1078MT,89.0
1078KH,180.0
1053ZH,250.0
1015RR,150.0
1031CN,60.0
1094EC,76.0
1054KV,109.0
1017DN,200.0
1017WT,300.0
1072AP,95.0
1098NN,238.0
1071BP,320.0
1073HJ,110.0
1055EM,69.0
1072EE,140.0
1018GJ,150.0
1053ST,96.5
1012KC,217.5
1015NX,140.0
1015AP,151.33
1054CE,512.5
1054VZ,142.5
1013HA,181.0
1052LL,103.0
1051LA,99.75
1091KA,125.0
1087BP,548.5
1079KN,100.0
1054KD,150.0
1078TC,70.0
1053WX,112.5
1018NK,101.67
1058BP,85.0
1056KA,99.0
1052NA,160.0
1017TT,150.0
1017WH,130.0
1087BV,120.0
1056HV,125.0
1098NJ,150.0
1053VG,477.5
1063AJ,70.0
1051NZ,242.33
1012ML,210.0
1078XK,130.0
1016XH,100.0
1058SV,85.0
1055BA,65.0
1083TE,705.0
1051PM,140.0
1015MN,165.0
1017TW,134.5
1016KT,750.84
1017GL,180.0
1087GK,149.0
1079GD,95.0
1013NX,84.0
1056EG,50.0
1069SE,160.0
1031XC,89.0
1018VL,120.0
1072XP,603.75
1012JB,110.0
1055XR,115.0
1032GG,95.0
1023BN,120.0
1058LP,100.0
1012GT,125.0
1054HR,150.0
1093LA,100.0
1053NZ,70.0
1075NH,85.0
1094ST,120.0
1021NM,74.33
1016LS,175.0
1054JX,110.0
1053AR,102.0
1017VK,149.0
1071DN,99.0
1072CT,135.0
1012XL,968.75
1058JZ,99.0
1061EA,69.0
1017RE,100.0
1013WN,619.5
1056WJ,360.67
1058DG,587.0
1093AW,100.0
1053ED,660.0
1017CS,206.67
1072RX,197.5
1016HR,272.5
1079NT,95.0
1018GA,159.0
1072PC,130.0
1012BB,164.0
1017JT,184.0
1031VC,75.0
1018LR,120.0
1065LV,115.0
1054RZ,200.0
1059BC,92.5
1015XX,922.5
1011NC,137.0
1087EN,150.0
1092GM,312.5
1052CW,155.0
1015HS,199.0
1096HR,500.0
1011TX,137.5
1051KN,85.0
1015ND,125.0
1017AV,250.0
1015PV,180.0
1181CA,179.0
1078XR,125.0
1053HM,175.0
1054WK,105.0
1073XW,144.5
1079TN,85.0
1095BV,110.0
1016AD,220.0
1096GJ,602.17
1072XD,362.5
1021JC,85.0
1055EC,134.0
1018VW,249.0
1053DH,130.0
1012EH,193.0
1057NN,95.0
1083TC,100.0
1075PE,165.0
1011KR,145.0
1059AJ,125.0
1051KB,95.0
1057DA,90.0
1056HH,87.5
1092EX,917.5
1053BX,97.5
1012MG,250.0
1093GE,105.0
1054AV,180.0
1017DK,210.0
1071VC,133.0
1018TR,120.0
1076KW,135.0
1051NW,120.0
1058DE,99.0
1016CA,89.0
1015CK,130.0
1098CB,99.0
1013HC,117.5
1051GV,96.0
1054AX,139.0
1022XB,89.0
1074CR,150.0
1012TB,102.5
1052JR,110.0
1016TC,160.0
1091AZ,150.0
1059AN,75.0
1017GC,275.0
1091BE,115.0
1015TA,295.0
1018GP,118.0
1012CT,150.0
1098KX,225.0
1017NR,138.0
1057WK,90.0
1078DG,200.0
1053WB,889.5
1057PA,248.0
1055RB,110.0
1098NZ,95.0
1051GW,99.0
1092CA,80.0
1032BK,135.0
1036KG,64.0
1017GR,295.0
1025LP,220.0
1056CG,100.0
1075VV,135.0
1094ED,449.5
1055NE,95.0
1051KZ,98.0
1013JJ,121.67
1012VE,564.5
1093XA,529.38
1081JV,103.0
1097AD,362.5
1059AZ,100.0
1091BS,99.0
1054WZ,160.0
1055NP,45.0
1079GM,120.0
1063TX,64.0
1093VK,72.0
1072GT,100.0
1094EX,81.0
1016CG,195.0
1056XE,936.25
1019RP,179.0
1076AT,125.0
1018VS,160.0
1011EA,127.0
1011EZ,150.0
1026CR,125.0
1016HX,165.0
1017JC,200.0
1011VH,250.0
1072NL,240.0
1094HA,72.5
1091CX,80.0
1018VR,157.0
1013BV,139.8
1015PH,78.0
1013KV,142.0
1094KW,89.0
1073GG,811.67
1015VJ,160.0
1094HJ,80.0
1052LM,99.0
1051VL,275.0
1017NK,125.0
1056TM,88.33
1058KV,85.0
1019HS,690.0
1016HW,144.5
1035VD,175.0
1053KB,79.0
1016DP,159.0
1013HM,115.0
1071XJ,645.0
1015PJ,107.5
1078EE,100.0
1055PK,133.5
1013DH,100.0
1056HL,94.0
1015GH,139.0
1012BM,200.0
1021HW,110.0
1056DR,90.0
1058TX,84.0
1072CX,709.5
1013BH,896.5
1035PX,40.0
1082GM,150.0
1082NR,126.67
1083GL,135.0
1071LG,300.0
1052LB,90.0
1092JM,87.5
1032KJ,110.0
1011LA,225.0
1013CH,337.0
1074AB,84.0
1013MR,101.33
1095VN,150.0
1017DJ,125.0
1018BW,100.0
1051CM,135.0
1016XL,125.0
1051PA,162.0
1017AS,212.5
1015GL,206.5
1072JR,567.5
1092BR,115.0
1013VL,89.0
1052HH,145.0
1015BR,197.5
1059XL,90.0
1015XP,95.0
1016HP,275.0
1015CW,225.0
1053DP,103.5
1018AR,75.0
1072XT,65.0
1055BP,110.0
1013AJ,292.5
1091RZ,94.5
1017ND,144.5
1015AD,673.33
1058JM,175.0
1011KJ,207.5
1079EC,120.5
1053KM,99.0
1073GM,142.0
1011NX,118.0
1016RC,135.0
1087JK,120.0
1019WZ,298.33
1012GD,140.0
1078CX,174.0
1019BX,115.0
1019JR,130.0
1056KH,99.0
1074EA,89.0
1016LJ,97.0
1097AN,79.0
1011BW,158.0
1094BC,95.0
1091GT,533.8
1018WG,127.5
1056HS,95.0
1012LJ,400.0
1056JV,135.0
1018JV,96.0
1015RH,130.0
1016EW,627.0
1054ZH,220.0
1015LA,65.0
1015AK,127.5
1078HD,150.0
1015BA,179.0
1013HK,125.0
1016XW,770.0
1097AR,100.0
1015MZ,249.0
1023BV,80.0
1072GE,120.0
1013CR,635.0
1074EH,144.5
1015JT,222.5
1056TS,200.0
1076TN,90.0
1022XZ,170.0
1081ED,100.0
1012DM,130.0
1058EK,89.0
1051XM,99.0
1015DT,203.22
1013TM,250.0
1074XA,90.0
1011GH,142.5
1073LT,130.0
1011BM,145.0
1093HW,50.0
1013KH,555.0
1091XS,86.0
1052KC,121.5
1052NL,249.0
1011JP,140.0
1019HB,175.0
1017XJ,150.0
1092CN,150.0
1094BH,75.0
1073TG,132.0
1051PB,150.0
1017RJ,195.0
1051NK,131.0
1011ET,249.0
1051BR,100.0
1016AK,189.0
1035PV,118.5
1021NP,120.0
1091DS,230.0
1093NG,95.0
1056VJ,99.0
1013NS,818.75
1052EL,95.0
1011VP,120.0
1075ST,409.5
1019TH,275.0
1072HC,297.0
1012GE,75.0
1073GV,90.0
1056RW,120.0
1012PS,110.0
1073GN,90.0
1072NX,130.0
1025TT,200.0
1011JL,115.0
1094LN,102.0
1018AD,157.6
1018CE,65.0
1072JH,142.5
1018EJ,182.0
1011KB,375.0
1055PA,55.0
1058JR,90.0
1072RT,104.0
1015WH,255.0
1053LH,122.0
1086XR,85.0
1011PG,142.5
1017CT,220.0
1017AW,135.0
1012TV,120.0
